ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3.141,-0.1426,0.0059,1.0186,0.2901,0.458,0.5802
3.161,-0.1458,0.0051,1.0271,0.2595,0.5725,0.687
3.181,-0.1389,0.0056,1.0266,0.2061,0.5344,0.5649
3.201,-0.1443,0.0076,1.0286,0.2672,0.4733,0.6031
3.221,-0.1416,0.0046,1.0259,0.1679,0.6031,0.5725
3.241,-0.1396,0.0059,1.0183,0.1527,0.458,0.7176
3.261,-0.146,0.0071,1.031,0.1832,0.6412,0.6031
3.281,-0.136,0.0076,1.0293,0.2519,0.5344,0.6641
3.301,-0.1411,0.0044,1.0249,0.2672,0.5267,0.7481
3.321,-0.1428,0.0054,1.0327,0.145,0.687,0.4809
3.341,-0.1377,0.0042,1.0254,0.1832,0.4885,0.5649
3.361,-0.1433,0.0034,1.0305,0.2519,0.6183,0.6412
3.381,-0.1406,0.0078,1.0281,0.2748,0.6031,0.5649
3.401,-0.1421,0.0039,1.0283,0.2137,0.5954,0.5802
3.421,-0.144,0.0051,1.032,0.1985,0.5954,0.687
3.441,-0.1382,0.0088,1.0234,0.1832,0.4122,0.6412
3.461,-0.1453,0.0039,1.0303,0.1298,0.5191,0.5954
3.481,-0.1399,0.0049,1.0247,0.2443,0.5344,0.6947
3.501,-0.1389,0.0051,1.0205,0.229,0.5344,0.5496
3.521,-0.145,0.0022,1.0305,0.2137,0.6641,0.6183
3.542,-0.1357,0.0063,1.03,0.2443,0.4885,0.6794
3.561,-0.1475,0.0027,1.0337,0.2366,0.5573,0.687
3.581,-0.1404,0.0049,1.0234,0.1832,0.5573,0.6183
3.601,-0.1458,0.0078,1.0256,0.1374,0.5267,0.5038
3.621,-0.1433,0.0054,1.0403,0.2519,0.6718,0.6718
3.641,-0.1392,0.0061,1.0205,0.2672,0.3893,0.6107
3.661,-0.1484,0.0046,1.0305,0.1985,0.4962,0.5802
3.681,-0.1384,0.0081,1.0291,0.2977,0.4198,0.6336
3.701,-0.1428,0.0024,1.0266,0.1908,0.5191,0.6489
3.721,-0.1479,0.0063,1.0291,0.1985,0.5725,0.5496
3.741,-0.1418,0.0076,1.0242,0.2214,0.4504,0.5115
3.761,-0.1421,0.0042,1.03,0.2214,0.4733,0.7023
3.781,-0.137,0.0076,1.0312,0.1527,0.6183,0.687
3.801,-0.1418,0.0098,1.0237,0.145,0.5038,0.6412
3.821,-0.145,0.0068,1.0293,0.145,0.626,0.5496
3.841,-0.1394,0.0063,1.0212,0.3282,0.5115,0.6107
3.861,-0.1467,0.0063,1.0276,0.229,0.6412,0.6947
3.881,-0.1396,0.0068,1.0293,0.229,0.4962,0.6107
3.901,-0.1404,0.0073,1.0234,0.1985,0.5496,0.6107
3.921,-0.1418,0.0098,1.0303,0.3969,0.5954,0.626
3.941,-0.1362,0.0083,1.0244,0.1298,0.5038,0.6794
3.961,-0.1438,-0.0017,1.032,0.229,0.7557,0.5878
3.981,-0.1411,0.0056,1.0298,0.1756,0.7252,0.5725
4.001,-0.1448,0.0032,1.0261,0.2977,0.4885,0.6412
4.021,-0.144,0.0042,1.0278,0.1374,0.7023,0.5802
4.041,-0.1392,0.0071,1.0244,0.1221,0.4733,0.7099
4.061,-0.1475,0.0063,1.0232,0.3435,0.5344,0.6412
4.081,-0.1404,0.0059,1.0266,0.2824,0.5954,0.7328
4.101,-0.1438,0.0039,1.0212,0.229,0.4809,0.6641
4.121,-0.1436,0.0063,1.0278,0.1985,0.7405,0.6718
4.141,-0.1399,0.0012,1.0212,0.2748,0.4275,0.6641
4.161,-0.1455,0.0054,1.0232,0.2137,0.5878,0.6565
4.182,-0.1379,0.0063,1.0232,0.2901,0.4809,0.6947
4.201,-0.1445,0.0066,1.0298,0.2824,0.5344,0.687
4.221,-0.1431,0.0051,1.0247,0.1832,0.6031,0.6412
4.241,-0.1423,0.0049,1.0193,0.1832,0.4427,0.6718
4.261,-0.144,0.0056,1.03,0.2061,0.5344,0.5573
4.281,-0.1411,0.0046,1.0234,0.2824,0.7328,0.5725
4.301,-0.1455,0.0088,1.0242,0.1756,0.5115,0.6947
4.321,-0.1438,0.0042,1.0254,0.2519,0.5496,0.6794
4.341,-0.1375,0.002,1.0239,0.2137,0.458,0.6412
4.361,-0.147,0.0012,1.0317,0.1832,0.5115,0.5954
4.381,-0.1387,0.0051,1.0251,0.3053,0.5267,0.6794
4.401,-0.1453,0.0042,1.0325,0.1221,0.6183,0.6412
4.421,-0.1416,0.0046,1.0276,0.0916,0.6183,0.5954
4.441,-0.1375,0.0063,1.0264,0.2672,0.4962,0.5954
4.461,-0.1443,0.0081,1.0254,0.0916,0.5267,0.6412
4.481,-0.1416,0.0042,1.0293,0.1832,0.5802,0.5878
4.501,-0.1428,0.0068,1.0242,0.1756,0.458,0.6107
4.521,-0.1401,0.0037,1.0278,0.2137,0.6565,0.626
4.541,-0.1421,0.0046,1.0244,0.1603,0.5954,0.6412
4.561,-0.1462,0.0049,1.0244,0.2137,0.6641,0.6641
4.581,-0.1401,0.0044,1.0237,0.2214,0.5878,0.5344
4.601,-0.1411,0.0046,1.022,0.229,0.5115,0.771
4.621,-0.1404,0.0049,1.031,0.229,0.5954,0.7176
4.641,-0.1409,0.0068,1.0264,0.2443,0.5038,0.6489
4.661,-0.144,0.0078,1.0244,0.1679,0.6412,0.6336
4.681,-0.1421,0.0037,1.0254,0.1832,0.4885,0.5954
4.701,-0.1418,0.009,1.0281,0.2672,0.3969,0.5649
4.721,-0.1416,0.0059,1.0261,0.1069,0.5496,0.7176
4.741,-0.1377,0.0056,1.0251,0.0992,0.542,0.687
4.761,-0.1433,0.0027,1.022,0.1756,0.6336,0.687
4.781,-0.1431,0.0068,1.0261,0.3053,0.5954,0.6718
4.801,-0.1436,0.0078,1.031,0.1985,0.5496,0.5725
4.822,-0.1433,0.0046,1.0254,0.2214,0.687,0.6565
4.841,-0.1379,0.0049,1.0193,0.313,0.5802,0.5878
4.861,-0.1453,0.0042,1.0225,0.2519,0.5267,0.5954
4.881,-0.1411,0.0061,1.0308,0.1603,0.7023,0.5802
4.901,-0.1416,0.0054,1.0308,0.2214,0.5344,0.5496
4.921,-0.1458,0.0029,1.0264,0.229,0.6336,0.5725
4.941,-0.1396,0.0076,1.0269,0.2595,0.4656,0.6336
4.961,-0.1421,0.0076,1.0281,0.145,0.542,0.5878
4.981,-0.1372,0.0032,1.0244,0.2519,0.5802,0.5725
5.001,-0.1404,0.0068,1.0254,0.2748,0.5344,0.5954
5.021,-0.144,0.0061,1.0293,0.2824,0.5878,0.6412
5.041,-0.1384,0.0046,1.03,0.229,0.4962,0.6794
5.061,-0.144,0.0083,1.0281,0.1985,0.6183,0.687
5.081,-0.1375,0.0063,1.0215,0.2519,0.5496,0.6641
5.101,-0.1431,0.0066,1.0264,0.1985,0.4885,0.5878
5.121,-0.1458,0.0081,1.0237,0.2214,0.6107,0.6183
5.141,-0.1401,0.0056,1.022,0.2672,0.4733,0.5954
5.161,-0.1436,0.0015,1.0261,0.1832,0.6565,0.6641
5.181,-0.1367,0.0039,1.0227,0.1832,0.5954,0.5878
5.201,-0.1431,0.0034,1.0227,0.1527,0.542,0.6565
5.221,-0.1409,0.0046,1.0349,0.2366,0.6718,0.6107
5.241,-0.1367,0.0037,1.0247,0.1679,0.5038,0.6794
5.261,-0.1462,0.0022,1.0251,0.2214,0.6336,0.5344
5.281,-0.1377,0.0066,1.0225,0.229,0.4962,0.5954
5.301,-0.1445,0.0054,1.0247,0.2595,0.4885,0.5954
5.321,-0.1409,0.0039,1.0271,0.2214,0.6641,0.5725
5.341,-0.1392,0.0039,1.0225,0.2366,0.5344,0.626
5.361,-0.1453,0.0059,1.021,0.1832,0.5954,0.5954
5.381,-0.1438,0.0024,1.0322,0.2977,0.6565,0.6718
5.401,-0.1436,0.0063,1.0225,0.2137,0.5115,0.6412
5.421,-0.1455,0.0068,1.0303,0.2061,0.5191,0.6641
5.441,-0.1428,0.0112,1.0276,0.1985,0.5038,0.687
5.462,-0.147,0.0068,1.0278,0.1527,0.5573,0.5573
5.481,-0.1389,0.0054,1.0293,0.2824,0.687,0.6336
5.501,-0.1414,0.0095,1.0261,0.2061,0.4885,0.6565
5.521,-0.1406,0.0056,1.0256,0.1679,0.5344,0.6183
5.541,-0.1394,0.0073,1.0286,0.145,0.4504,0.6336
5.561,-0.1487,0.0061,1.0325,0.229,0.687,0.7023
5.581,-0.1394,0.0078,1.031,0.2137,0.6794,0.542
5.601,-0.1436,0.0063,1.0195,0.229,0.5115,0.687
5.621,-0.1436,0.0024,1.0288,0.2137,0.7328,0.6947
5.641,-0.1394,0.0046,1.0288,0.2595,0.5573,0.626
5.661,-0.1448,0.0007,1.0322,0.2519,0.626,0.6107
5.681,-0.1414,-0.0005,1.022,0.2214,0.7252,0.542
5.701,-0.1438,0.0054,1.0315,0.1679,0.4885,0.6794
5.721,-0.1436,0.0042,1.0269,0.2748,0.687,0.6565
5.741,-0.1409,0.0054,1.0261,0.2672,0.6336,0.5878
5.761,-0.146,0.0032,1.0271,0.2214,0.5267,0.6412
5.781,-0.1406,0.0039,1.0251,0.2366,0.6107,0.6412
5.801,-0.1445,0.0078,1.0244,0.1832,0.4809,0.6107
5.821,-0.1445,0.0051,1.0254,0.2748,0.5725,0.687
5.841,-0.1431,0.0066,1.0317,0.1985,0.4046,0.7099
5.861,-0.1462,0.0063,1.0295,0.2519,0.5267,0.6565
5.881,-0.1392,0.0071,1.0256,0.2137,0.5344,0.6107
5.901,-0.1382,0.0063,1.0237,0.1756,0.4275,0.626
5.921,-0.1472,0.0039,1.0288,0.1221,0.6031,0.6412
5.941,-0.1409,0.0066,1.0234,0.2366,0.5267,0.5878
5.961,-0.1436,0.0032,1.0308,0.1603,0.6412,0.6718
5.981,-0.1382,0.0039,1.0251,0.2137,0.6183,0.7099
6.001,-0.1467,0.0042,1.0256,0.1985,0.5573,0.6107
6.021,-0.1426,0.0017,1.0288,0.1908,0.687,0.6336
6.041,-0.1384,0.0076,1.0254,0.2366,0.5191,0.5802
6.061,-0.1479,0.0054,1.0251,0.2901,0.6183,0.6412
6.081,-0.1418,0.0044,1.0259,0.2137,0.5115,0.687
6.102,-0.1428,0.0098,1.0266,0.1603,0.4733,0.5878
6.121,-0.1421,0.0024,1.0222,0.1069,0.5573,0.6031
6.141,-0.135,0.0081,1.0239,0.2137,0.4656,0.7252
6.161,-0.1458,0.0024,1.0293,0.3282,0.4885,0.542
6.181,-0.1418,0.0076,1.03,0.1832,0.5802,0.5802
6.201,-0.1421,0.0063,1.0295,0.0916,0.5725,0.7481
6.221,-0.1455,0.0034,1.0293,0.1832,0.687,0.6947
6.241,-0.1394,0.0049,1.0239,0.229,0.4962,0.6183
6.261,-0.1436,0.0051,1.0291,0.2748,0.6641,0.626
6.281,-0.1414,0.0081,1.02,0.2901,0.6031,0.5878
6.301,-0.1414,0.0049,1.0251,0.229,0.5649,0.6794
6.321,-0.1418,0.0042,1.0293,0.2214,0.626,0.626
6.341,-0.1372,0.0061,1.0244,0.1679,0.5649,0.6412
6.361,-0.1484,0.0039,1.0229,0.1756,0.6031,0.6565
6.381,-0.1404,0.0078,1.0288,0.2214,0.5878,0.626
6.401,-0.1392,0.0076,1.021,0.2443,0.5038,0.6336
6.421,-0.1462,0.0042,1.0305,0.1908,0.5725,0.6641
6.441,-0.1406,0.0049,1.0264,0.3359,0.458,0.6641
6.461,-0.1445,0.0044,1.0251,0.1679,0.5725,0.6183
6.481,-0.1389,0.0061,1.0249,0.229,0.626,0.5802
6.501,-0.1394,0.0063,1.0259,0.2672,0.5954,0.7023
6.521,-0.1416,0.0061,1.0266,0.229,0.5802,0.5649
6.541,-0.1416,0.0088,1.0278,0.1985,0.6107,0.6641
6.561,-0.1477,0.0015,1.032,0.2824,0.4809,0.6031
6.581,-0.1399,0.0027,1.0286,0.2443,0.687,0.5954
6.601,-0.1443,0.0056,1.0222,0.1908,0.4962,0.5802
6.621,-0.1453,0.0044,1.0254,0.2748,0.626,0.542
6.641,-0.1414,0.0073,1.0269,0.3053,0.5954,0.626
6.661,-0.1431,0.0027,1.0249,0.2214,0.6794,0.7023
6.681,-0.1416,0.0081,1.0254,0.2595,0.4962,0.6794
6.701,-0.1428,0.0049,1.0254,0.1832,0.542,0.6565
6.721,-0.1462,0.0032,1.0242,0.1832,0.7328,0.5878
6.742,-0.1418,0.0044,1.0239,0.1908,0.4351,0.542
6.761,-0.1467,0.0063,1.0271,0.313,0.6336,0.5802
6.781,-0.1384,0.0049,1.0264,0.2443,0.5725,0.5878
6.801,-0.1431,0.0066,1.0247,0.2214,0.5725,0.6718
6.821,-0.1428,0.0029,1.0298,0.2137,0.6794,0.6336
6.841,-0.1399,0.0046,1.0261,0.2137,0.4275,0.687
6.861,-0.146,0.0017,1.0288,0.2137,0.6641,0.5573
6.881,-0.1418,0.0024,1.0261,0.2214,0.6107,0.6183
6.901,-0.1436,0.012,1.021,0.313,0.5191,0.6336
6.921,-0.1431,0.0066,1.031,0.2214,0.6412,0.6031
6.941,-0.1394,0.0081,1.0261,0.2214,0.4809,0.6412
6.961,-0.1475,0.0066,1.0266,0.1221,0.5649,0.6336
6.981,-0.1389,0.0042,1.0254,0.1374,0.6031,0.5725
7.001,-0.1399,0.0059,1.0273,0.2595,0.4275,0.6412
7.021,-0.1418,0.0029,1.0315,0.1603,0.6947,0.6336
7.041,-0.1431,0.0078,1.0239,0.2748,0.4427,0.626
7.061,-0.147,0.0039,1.0281,0.2519,0.6107,0.7405
7.081,-0.1404,0.0078,1.0254,0.2366,0.5725,0.687
7.101,-0.1426,0.0076,1.0298,0.1603,0.5496,0.6412
7.121,-0.1438,0.0059,1.0298,0.1908,0.7328,0.6794
7.141,-0.1404,0.0078,1.0254,0.1832,0.5344,0.7023
7.161,-0.1484,0.0059,1.0281,0.2214,0.5878,0.6412
7.181,-0.137,0.0051,1.0276,0.1603,0.5725,0.5649
7.201,-0.1389,0.0071,1.0288,0.2824,0.5802,0.6412
7.221,-0.1443,0.0037,1.022,0.2061,0.6412,0.7252
7.241,-0.1423,0.0056,1.0269,0.2061,0.4122,0.5649
7.261,-0.1436,0.0029,1.0283,0.2824,0.5344,0.6641
7.281,-0.1396,0.0088,1.0264,0.2366,0.6412,0.6336
7.301,-0.1421,0.0103,1.0283,0.2137,0.4809,0.5649
7.321,-0.1411,0.0061,1.0325,0.2137,0.6794,0.6718
7.341,-0.1379,0.0056,1.0227,0.1985,0.6031,0.5573
7.361,-0.1462,0.0066,1.0244,0.229,0.6107,0.6336
7.382,-0.1367,0.001,1.0251,0.3053,0.542,0.6336
7.401,-0.1406,0.0103,1.0269,0.1374,0.5267,0.626
7.421,-0.1411,0.0066,1.03,0.2214,0.6336,0.6031
7.441,-0.1362,0.0063,1.0293,0.1985,0.4962,0.7634
7.461,-0.1445,0.0022,1.0295,0.1756,0.6641,0.7099
