ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,stdDevAX
3.085,-0.1182,0.0149,1.0232,0.2672,0.6565,0.6641,
3.105,-0.1211,0.0161,1.0215,0.1527,0.6107,0.6107,
3.125,-0.1179,0.0161,1.0181,0.1832,0.5573,0.5954,
3.145,-0.1145,0.0125,1.0239,0.1527,0.5267,0.6336,
3.165,-0.1204,0.0171,1.0186,0.1527,0.5878,0.5649,
3.185,-0.1187,0.0149,1.0181,0.1908,0.542,0.6107,
3.205,-0.1177,0.0171,1.0261,0.2748,0.5191,0.6565,
3.225,-0.1172,0.0142,1.0232,0.1221,0.5725,0.6031,
3.245,-0.1182,0.0129,1.0215,0.2137,0.5878,0.6641,
3.265,-0.1162,0.0132,1.0227,0.1985,0.4656,0.5267,
3.286,-0.1162,0.0154,1.0176,0.2214,0.4962,0.5267,
3.305,-0.1191,0.0168,1.021,0.1527,0.4809,0.5802,
3.325,-0.1187,0.0122,1.0203,0.0916,0.5573,0.6489,
3.345,-0.1147,0.0154,1.0217,0.0916,0.5496,0.5267,
3.365,-0.1189,0.0144,1.0261,0.1985,0.5878,0.5191,
3.385,-0.1189,0.0183,1.0254,0.1374,0.4656,0.5802,
3.405,-0.1174,0.0181,1.0186,0.1527,0.6412,0.5344,
3.425,-0.1184,0.0149,1.0249,0.1679,0.3664,0.626,
3.445,-0.1169,0.0161,1.0232,0.1985,0.5267,0.5802,
3.465,-0.1182,0.0144,1.0188,0.1832,0.4962,0.5725,
3.485,-0.1155,0.0159,1.0261,0.1756,0.5191,0.6947,
3.505,-0.1174,0.0166,1.0244,0.1374,0.5802,0.6718,
3.525,-0.1179,0.0098,1.0159,0.1603,0.4885,0.5573,
3.545,-0.1165,0.0115,1.019,0.1298,0.5496,0.6565,
3.565,-0.1179,0.0105,1.0188,0.1985,0.5267,0.5573,
3.585,-0.1211,0.0164,1.0222,0.2061,0.6565,0.5344,
3.605,-0.1167,0.0171,1.02,0.0687,0.4962,0.6183,
3.625,-0.1167,0.0156,1.0227,0.1985,0.5496,0.6565,
