ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,stdDevAX,DeltaTime,Angle,Drift Per Min
7.185,-0.1169,0.0181,1.0159,0.1679,0.4733,0.6107,,0.02,0.9429521,
7.205,-0.1204,0.0166,1.0303,0.1832,0.5115,0.5725,,0.02,0.9466161,
7.225,-0.1182,0.0125,1.0125,0.1756,0.4275,0.5649,,0.02,0.9501281,
7.245,-0.1199,0.0132,1.0227,0.2214,0.4656,0.5573,,0.02,0.9545561,
7.265,-0.1189,0.0151,1.0208,0.0611,0.6031,0.5725,,0.02,0.9557781,
7.285,-0.1157,0.0112,1.0154,0.1298,0.5267,0.5954,,0.02,0.9583741,
7.305,-0.1162,0.0156,1.0288,0.1145,0.4962,0.5954,,0.02,0.9606641,
7.325,-0.1169,0.0142,1.0205,0.0687,0.5802,0.6336,,0.02,0.9620381,
7.345,-0.1167,0.0125,1.0173,0.1527,0.5267,0.5802,,0.02,0.9650921,
7.365,-0.1157,0.0132,1.0244,0.0611,0.4885,0.626,,0.02,0.9663141,
7.385,-0.1169,0.0149,1.0215,0.2595,0.6107,0.6336,,0.02,0.9715041,
7.405,-0.116,0.0134,1.0193,0.1832,0.5344,0.5038,,0.02,0.9751681,
7.425,-0.114,0.0166,1.0278,0.1679,0.4962,0.626,,0.02,0.9785261,
7.445,-0.1174,0.0166,1.0283,0.1374,0.4809,0.6336,,0.02,0.9812741,
7.465,-0.1199,0.0154,1.0249,0.1221,0.687,0.626,,0.02,0.9837161,
7.485,-0.1162,0.0112,1.0225,0.145,0.5191,0.5649,,0.02,0.9866161,
7.505,-0.1145,0.0156,1.021,0.1756,0.5038,0.5115,,0.02,0.9901281,
7.525,-0.1133,0.0127,1.0222,0.0534,0.5878,0.6107,,0.02,0.9911961,
7.545,-0.1177,0.0115,1.022,0.1221,0.6183,0.5954,,0.02,0.9936381,
7.565,-0.1177,0.0132,1.0161,0.1832,0.5344,0.4962,,0.02,0.9973021,
7.585,-0.1191,0.0144,1.0225,0.145,0.6641,0.542,,0.02,1.0002021,
7.605,-0.1179,0.0171,1.0237,0.2748,0.5649,0.5267,,0.02,1.0056981,
7.625,-0.1155,0.0168,1.0205,0.1374,0.6031,0.626,,0.02,1.0084461,
7.645,-0.1174,0.0151,1.0237,0.1221,0.5191,0.5878,,0.02,1.0108881,
7.665,-0.1184,0.0173,1.0244,0.0992,0.5573,0.6489,,0.02,1.0128721,
7.685,-0.1165,0.0156,1.0227,0.2137,0.5725,0.5649,,0.02,1.0171461,
7.705,-0.1147,0.0156,1.0273,0.1298,0.4733,0.6718,,0.02,1.0197421,
7.725,-0.1174,0.0132,1.0149,0.1527,0.6107,0.5649,,0.02,1.0227961,
7.745,-0.1199,0.0166,1.0227,0.1832,0.5115,0.4962,,0.021,1.0266433,
7.766,-0.116,0.0142,1.0234,0.0916,0.6107,0.6489,,0.019,1.0283837,
7.785,-0.1147,0.0164,1.02,0.1756,0.5191,0.5725,,0.02,1.0318957,
7.805,-0.1162,0.0151,1.0212,0.1298,0.5954,0.7023,,0.02,1.0344917,
7.825,-0.1172,0.0127,1.0203,0.1603,0.6031,0.4885,,0.02,1.0376977,
7.845,-0.1177,0.0142,1.0198,0.0382,0.5573,0.5573,,0.02,1.0384617,
7.865,-0.1194,0.0132,1.0247,0.1527,0.5725,0.6947,,0.02,1.0415157,
7.885,-0.114,0.019,1.0229,0.084,0.6794,0.6336,,0.02,1.0431957,
7.905,-0.1172,0.0154,1.0239,0.1374,0.626,0.5344,,0.02,1.0459437,
7.925,-0.1155,0.0183,1.0183,0.0687,0.542,0.6031,,0.02,1.0473177,
7.945,-0.1191,0.0166,1.0186,0.084,0.4122,0.5115,,0.02,1.0489977,
7.965,-0.1189,0.0144,1.0173,0.1756,0.4656,0.6031,,0.02,1.0525097,
7.985,-0.1206,0.0144,1.0239,0.2061,0.542,0.5649,,0.02,1.0566317,
8.005,-0.1179,0.0164,1.0183,0.1374,0.4351,0.6489,,0.02,1.0593797,
8.025,-0.1167,0.0144,1.0188,0.1145,0.5573,0.5802,,0.02,1.0616697,
8.045,-0.1155,0.0168,1.021,0.2443,0.6107,0.6336,,0.02,1.0665557,
8.065,-0.1213,0.0166,1.0229,0.1908,0.6565,0.5344,,0.02,1.0703717,
8.085,-0.1182,0.0139,1.022,0.2443,0.5954,0.5115,,0.02,1.0752577,
8.105,-0.1199,0.0139,1.0181,0.0992,0.5725,0.6107,,0.02,1.0772417,
8.125,-0.1216,0.0154,1.0195,0.1756,0.687,0.6489,,0.02,1.0807537,
8.145,-0.1155,0.0127,1.0183,0.1221,0.4885,0.6107,,0.02,1.0831957,
8.165,-0.1167,0.0154,1.0164,0.1756,0.5191,0.6412,,0.02,1.0867077,
8.185,-0.1167,0.0127,1.0193,0.1298,0.4962,0.687,,0.02,1.0893037,
8.205,-0.1199,0.0142,1.0171,0.1298,0.5573,0.5496,,0.02,1.0918997,
8.225,-0.1155,0.0166,1.0229,0.145,0.542,0.6718,,0.02,1.0947997,
8.245,-0.1165,0.0154,1.0171,0.1145,0.542,0.5191,,0.02,1.0970897,
8.265,-0.1169,0.0156,1.019,0.1985,0.687,0.6336,,0.02,1.1010597,
8.285,-0.1179,0.0168,1.0188,0.1374,0.5649,0.626,,0.02,1.1038077,
8.305,-0.1174,0.0154,1.0281,0.1374,0.5496,0.5649,,0.02,1.1065557,
8.325,-0.1143,0.0134,1.0234,0.145,0.5344,0.6336,,0.02,1.1094557,
8.345,-0.1147,0.0178,1.0293,0.1985,0.6183,0.5802,,0.02,1.1134257,
8.365,-0.1189,0.0166,1.0247,0.145,0.5725,0.6107,,0.02,1.1163257,
8.385,-0.1179,0.0146,1.0198,0.1603,0.5038,0.6336,,0.021,1.119692,
8.406,-0.1194,0.0168,1.0237,0.2137,0.4885,0.5878,,0.019,1.1237523,
8.425,-0.1213,0.0159,1.0188,0.1756,0.6641,0.5191,,0.02,1.1272643,
8.445,-0.1184,0.019,1.0227,0.229,0.5115,0.6183,,0.02,1.1318443,
8.465,-0.1211,0.0208,1.0234,0.1374,0.5115,0.626,,0.02,1.1345923,
8.485,-0.1182,0.0168,1.0205,0.1527,0.687,0.6565,,0.02,1.1376463,
8.505,-0.1169,0.0198,1.0178,0.1832,0.4885,0.4656,,0.02,1.1413103,
8.525,-0.1143,0.0142,1.0183,0.1374,0.5878,0.5649,,0.02,1.1440583,
8.545,-0.1199,0.0139,1.0134,0.1908,0.5038,0.5725,,0.02,1.1478743,
8.565,-0.1169,0.0151,1.0227,0.1832,0.6183,0.5267,,0.02,1.1515383,
8.585,-0.1184,0.0166,1.0186,0.1221,0.4733,0.5649,,0.02,1.1539803,
8.605,-0.113,0.0156,1.0237,0.1527,0.6107,0.687,,0.02,1.1570343,
8.625,-0.1191,0.0134,1.0264,0.229,0.5573,0.5344,,0.02,1.1616143,
8.645,-0.1189,0.0156,1.0244,0.0992,0.6641,0.7481,,0.02,1.1635983,
8.665,-0.1165,0.0183,1.0205,0.1908,0.5878,0.6336,,0.02,1.1674143,
8.685,-0.115,0.0171,1.0222,0.1145,0.5725,0.5802,,0.02,1.1697043,
8.705,-0.1204,0.0173,1.0159,0.1145,0.5802,0.5878,,0.02,1.1719943,
8.725,-0.1196,0.019,1.0266,0.2443,0.6489,0.5115,,0.02,1.1768803,
8.745,-0.1169,0.0117,1.0193,0.1985,0.626,0.6183,,0.02,1.1808503,
8.765,-0.1162,0.0166,1.0168,0.1374,0.5649,0.5573,,0.02,1.1835983,
8.785,-0.116,0.0154,1.0205,0.0763,0.542,0.5267,,0.02,1.1851243,
8.805,-0.1179,0.0149,1.0237,0.1756,0.4962,0.6489,,0.02,1.1886363,
8.825,-0.1167,0.0161,1.0208,0.1374,0.6107,0.7099,,0.02,1.1913843,
8.845,-0.1165,0.0127,1.0234,0.1603,0.6489,0.6489,,0.02,1.1945903,
8.865,-0.1157,0.0146,1.0176,0.0916,0.6107,0.6794,,0.02,1.1964223,
8.885,-0.1177,0.0164,1.0198,0.0992,0.5344,0.5954,,0.02,1.1984063,
8.905,-0.1167,0.0134,1.0254,0.145,0.4656,0.6718,,0.02,1.2013063,
8.925,-0.1194,0.0117,1.019,0.084,0.6947,0.6565,,0.02,1.2029863,
8.945,-0.1177,0.0144,1.022,0.1832,0.5649,0.5496,,0.02,1.2066503,
8.965,-0.1174,0.0132,1.0212,0.2137,0.6489,0.542,,0.02,1.2109243,
8.985,-0.1211,0.0156,1.0212,0.1908,0.5115,0.6183,,0.02,1.2147403,
9.005,-0.1162,0.0151,1.0264,0.1756,0.4275,0.6718,,0.02,1.2182523,
9.025,-0.1116,0.0146,1.0208,0.2137,0.4885,0.6489,,0.021,1.22274,
9.046,-0.1167,0.0183,1.0161,0.1832,0.5954,0.6947,,0.019,1.2262208,
9.065,-0.1226,0.0149,1.0156,0.1603,0.4733,0.5802,,0.02,1.2294268,
9.085,-0.1191,0.0164,1.0227,0.2595,0.5115,0.5191,,0.02,1.2346168,
9.105,-0.1172,0.0161,1.0239,0.1298,0.4656,0.6107,,0.02,1.2372128,
9.125,-0.1177,0.011,1.0251,0.1145,0.5038,0.5267,,0.02,1.2395028,
9.145,-0.114,0.0139,1.0222,0.1145,0.4504,0.6107,,0.02,1.2417928,
9.165,-0.1162,0.0186,1.0205,0.1603,0.6031,0.6641,,0.02,1.2449988,
9.185,-0.1167,0.0166,1.0212,0.0916,0.5725,0.5649,,0.02,1.2468308,
9.205,-0.1167,0.0168,1.0178,0.1374,0.5038,0.6183,,0.02,1.2495788,
9.225,-0.116,0.0156,1.0229,0.1832,0.4733,0.6183,,0.02,1.2532428,
9.245,-0.1177,0.0181,1.0193,0.1374,0.5191,0.6794,,0.02,1.2559908,
9.265,-0.1169,0.0166,1.0176,0.0687,0.4962,0.626,,0.02,1.2573648,
9.285,-0.1167,0.0142,1.0178,0.0916,0.5725,0.6489,,0.02,1.2591968,
9.305,-0.1177,0.0173,1.0168,0.1298,0.5344,0.5649,,0.02,1.2617928,
9.325,-0.1145,0.0168,1.0256,0.1145,0.5802,0.626,,0.02,1.2640828,
9.345,-0.1174,0.0168,1.0217,0.1603,0.5802,0.687,,0.02,1.2672888,
9.365,-0.1155,0.0176,1.0166,0.1985,0.542,0.6489,,0.02,1.2712588,
9.385,-0.1179,0.0154,1.0254,0.1527,0.542,0.6183,,0.02,1.2743128,
9.405,-0.1187,0.0129,1.0225,0.2137,0.2824,0.5954,,0.02,1.2785868,
9.425,-0.1157,0.0125,1.0286,0.1374,0.542,0.5344,,0.02,1.2813348,
9.445,-0.1189,0.0098,1.0186,0.2061,0.5878,0.5802,,0.02,1.2854568,
9.465,-0.1189,0.0168,1.0203,0.1832,0.626,0.542,,0.02,1.2891208,
9.485,-0.1179,0.0146,1.0222,0.0763,0.6183,0.6794,,0.02,1.2906468,
9.505,-0.115,0.0159,1.0227,0.1069,0.4962,0.626,,0.02,1.2927848,
9.525,-0.1135,0.0154,1.021,0.084,0.5038,0.5802,,0.02,1.2944648,
9.545,-0.1174,0.0159,1.0229,0.1527,0.542,0.5649,,0.02,1.2975188,
9.565,-0.1196,0.0164,1.0217,0.0763,0.5573,0.5725,,0.02,1.2990448,
9.585,-0.1155,0.0151,1.0186,0.2061,0.6412,0.5649,,0.02,1.3031668,
9.605,-0.1211,0.0154,1.0176,0.0382,0.5191,0.6565,,0.02,1.3039308,
9.625,-0.1179,0.0151,1.021,0.1679,0.6336,0.6107,,0.02,1.3072888,
9.645,-0.1226,0.0154,1.0205,0.1679,0.5573,0.5573,,0.02,1.3106468,
9.665,-0.1143,0.0183,1.0281,0.1756,0.5954,0.6183,,0.021,1.3143344,
9.686,-0.1152,0.0159,1.0239,0.0992,0.4733,0.5496,,0.019,1.3162192,
9.705,-0.115,0.0156,1.0146,0.1298,0.5649,0.5267,,0.02,1.3188152,
9.725,-0.1189,0.0139,1.0198,0.1145,0.5725,0.626,,0.02,1.3211052,
9.745,-0.116,0.0144,1.0215,0.1679,0.5344,0.6183,,0.02,1.3244632,
9.765,-0.1189,0.0149,1.0198,0.1221,0.5725,0.6412,,0.02,1.3269052,
9.785,-0.1174,0.0159,1.0239,0.1908,0.4656,0.5573,,0.02,1.3307212,
9.805,-0.1201,0.0159,1.0168,0.0916,0.458,0.6794,,0.02,1.3325532,
9.825,-0.1157,0.0186,1.0232,0.1832,0.5496,0.6641,,0.02,1.3362172,
9.845,-0.1221,0.0164,1.0203,0.1145,0.5267,0.7099,,0.02,1.3385072,
9.865,-0.1174,0.0171,1.0146,0.1145,0.6031,0.6107,,0.02,1.3407972,
9.885,-0.1174,0.0132,1.022,0.1985,0.6565,0.6718,,0.02,1.3447672,
9.905,-0.1165,0.0151,1.022,0.0687,0.5802,0.6107,,0.02,1.3461412,
9.925,-0.1199,0.0134,1.0222,0.1527,0.6336,0.626,,0.02,1.3491952,
9.945,-0.1174,0.0166,1.0205,0.145,0.5725,0.5267,,0.02,1.3520952,
9.965,-0.1194,0.0164,1.0173,0.1679,0.5725,0.6031,,0.02,1.3554532,
9.985,-0.1169,0.0164,1.0222,0.145,0.4962,0.626,,0.02,1.3583532,
10.005,-0.1182,0.0117,1.0266,0.1069,0.5038,0.626,,0.02,1.3604912,
10.025,-0.1189,0.0159,1.0227,0.0992,0.626,0.6031,,0.02,1.3624752,
10.045,-0.1147,0.0156,1.0181,0.1298,0.5649,0.5267,,0.02,1.3650712,
10.065,-0.1147,0.0183,1.0256,0.1985,0.6107,0.6336,,0.02,1.3690412,
10.085,-0.1206,0.0151,1.0249,0.1221,0.5725,0.5115,,0.02,1.3714832,
10.105,-0.1152,0.0112,1.0217,0.0992,0.5573,0.6336,,0.02,1.3734672,
10.125,-0.1184,0.0168,1.0222,0.1527,0.6107,0.6565,,0.02,1.3765212,
10.145,-0.1196,0.0164,1.0254,0.145,0.5573,0.7099,,0.02,1.3794212,
10.165,-0.1189,0.0139,1.0215,0.0992,0.5496,0.6336,,0.02,1.3814052,
10.185,-0.1199,0.0134,1.0154,0.084,0.5115,0.5191,,0.02,1.3830852,
10.205,-0.1196,0.0154,1.0249,0.145,0.5191,0.626,,0.02,1.3859852,
10.225,-0.1172,0.0186,1.0168,0.2519,0.5802,0.626,,0.02,1.3910232,
10.245,-0.1204,0.0146,1.0178,0.2137,0.5496,0.6794,,0.02,1.3952972,
10.265,-0.1167,0.0139,1.0225,0.1679,0.5038,0.5573,,0.02,1.3986552,
10.285,-0.1174,0.0134,1.0198,0.145,0.6336,0.5725,,0.02,1.4015552,
10.305,-0.1162,0.0127,1.0171,0.1221,0.5573,0.5725,,0.021,1.4041193,
10.326,-0.1172,0.0188,1.0227,0.2214,0.4885,0.5573,,0.019,1.4083259,
10.345,-0.1169,0.0151,1.0149,0.1832,0.6107,0.5802,,0.02,1.4119899,
10.365,-0.1165,0.012,1.0166,0.0992,0.4427,0.6489,,0.02,1.4139739,
10.385,-0.1187,0.0129,1.0298,0.2214,0.5267,0.6489,,0.02,1.4184019,
10.405,-0.1182,0.0144,1.0164,0.1603,0.6336,0.4656,,0.02,1.4216079,
10.425,-0.1189,0.0146,1.0193,0.1832,0.542,0.542,,0.02,1.4252719,
10.445,-0.1199,0.0193,1.0229,0.145,0.5573,0.6565,,0.02,1.4281719,
10.465,-0.1157,0.0188,1.0251,0.0992,0.6412,0.6031,,0.02,1.4301559,
10.485,-0.1128,0.0146,1.0234,0.1908,0.4885,0.6031,,0.02,1.4339719,
10.505,-0.1179,0.0181,1.0261,0.1756,0.5191,0.5878,,0.02,1.4374839,
10.525,-0.1147,0.0127,1.0168,0.1679,0.542,0.5802,,0.02,1.4408419,
10.545,-0.1196,0.0144,1.0176,0.1679,0.4351,0.5267,,0.02,1.4441999,
10.565,-0.1189,0.0173,1.0222,0.084,0.5573,0.626,,0.02,1.4458799,
10.585,-0.1194,0.0166,1.0215,0.2137,0.4809,0.6641,,0.02,1.4501539,
10.605,-0.1179,0.0171,1.0249,0.1298,0.6031,0.6412,,0.02,1.4527499,
10.625,-0.1179,0.0149,1.0217,0.0534,0.5878,0.5802,,0.02,1.4538179,
10.645,-0.1179,0.019,1.0247,0.084,0.6031,0.6794,,0.02,1.4554979,
10.665,-0.1238,0.0164,1.0195,0.1298,0.6031,0.6794,,0.02,1.4580939,
10.685,-0.1145,0.0115,1.0212,0.2214,0.5725,0.7099,,0.02,1.4625219,
10.705,-0.1179,0.0122,1.0205,0.084,0.5725,0.6031,,0.02,1.4642019,
10.725,-0.1155,0.0166,1.0225,0.2061,0.5573,0.5802,,0.02,1.4683239,
10.745,-0.1179,0.0203,1.0249,0.1908,0.5649,0.6107,,0.02,1.4721399,
10.765,-0.1143,0.0168,1.0217,0.1527,0.5038,0.5725,,0.02,1.4751939,
10.785,-0.1157,0.0144,1.0212,0.1756,0.5496,0.6565,,0.02,1.4787059,
10.805,-0.1121,0.0117,1.0222,0.1298,0.5954,0.6183,,0.02,1.4813019,
10.825,-0.115,0.0151,1.0225,0.0687,0.4885,0.5725,,0.02,1.4826759,
10.845,-0.1174,0.0146,1.0225,0.1908,0.6565,0.6107,,0.02,1.4864919,
10.865,-0.1174,0.0161,1.0205,0.2443,0.5115,0.6412,,0.02,1.4913779,
10.885,-0.1177,0.0164,1.0208,0.1527,0.5573,0.5954,,0.02,1.4944319,
10.905,-0.1152,0.0144,1.0171,0.1527,0.5496,0.6412,,0.02,1.4974859,
10.925,-0.1191,0.0173,1.0327,0.0534,0.6336,0.5649,,0.02,1.4985539,
10.945,-0.1169,0.0188,1.0227,0.1679,0.5038,0.626,,0.021,1.5020798,
10.966,-0.1162,0.0139,1.0181,0.2443,0.4656,0.6489,,0.019,1.5067215,
10.985,-0.1191,0.0188,1.0198,0.1832,0.5725,0.5954,,0.02,1.5103855,
11.005,-0.1179,0.0122,1.0193,0.0229,0.4885,0.6947,,0.02,1.5108435,
11.025,-0.1204,0.0168,1.0173,0.229,0.5802,0.6107,,0.02,1.5154235,
11.045,-0.1196,0.0198,1.0261,0.0611,0.6031,0.6565,,0.02,1.5166455,
11.065,-0.1162,0.0159,1.0217,0.084,0.5725,0.6183,,0.02,1.5183255,
11.085,-0.1155,0.0159,1.0239,0.1679,0.626,0.5573,,0.02,1.5216835,
11.105,-0.1174,0.0193,1.0244,0.1527,0.7099,0.542,,0.02,1.5247375,
11.125,-0.1187,0.0159,1.0232,0.2061,0.4733,0.6489,,0.02,1.5288595,
11.145,-0.116,0.0161,1.0286,0.0611,0.6183,0.6412,,0.02,1.5300815,
11.165,-0.1162,0.0164,1.0278,0.0687,0.5344,0.5573,,0.02,1.5314555,
11.185,-0.1172,0.012,1.0293,0.3359,0.4427,0.5725,,0.02,1.5381735,
11.205,-0.1204,0.0154,1.0198,0.0916,0.5038,0.626,,0.02,1.5400055,
11.225,-0.1167,0.0205,1.0217,0.2366,0.5191,0.7176,,0.02,1.5447375,
11.245,-0.1116,0.0149,1.0229,0.1908,0.5496,0.7634,,0.02,1.5485535,
11.265,-0.1147,0.0154,1.0186,0.2672,0.6031,0.6107,,0.02,1.5538975,
11.285,-0.1182,0.0161,1.0186,0.1527,0.5267,0.5573,,0.02,1.5569515,
11.305,-0.1165,0.0193,1.0283,0.1374,0.4427,0.5344,,0.02,1.5596995,
11.325,-0.116,0.0168,1.0205,0.0992,0.4809,0.626,,0.02,1.5616835,
11.345,-0.1179,0.0137,1.0256,0.2137,0.5496,0.6107,,0.02,1.5659575,
11.365,-0.1152,0.0134,1.0232,0.1298,0.5725,0.6031,,0.02,1.5685535,
11.385,-0.1208,0.0134,1.0232,0.1832,0.5725,0.5954,,0.02,1.5722175,
11.405,-0.1191,0.0154,1.0183,0.0992,0.5496,0.6412,,0.02,1.5742015,
11.425,-0.1213,0.0166,1.0168,0.1221,0.5038,0.6031,,0.02,1.5766435,
11.445,-0.1191,0.0159,1.0254,0.1985,0.5649,0.6794,,0.02,1.5806135,
11.465,-0.1174,0.0154,1.022,0.1221,0.5649,0.626,,0.02,1.5830555,
11.485,-0.1213,0.0142,1.0225,0.1603,0.6031,0.6107,,0.02,1.5862615,
11.505,-0.1172,0.0171,1.0198,0.1756,0.4962,0.5649,,0.02,1.5897735,
11.525,-0.115,0.0154,1.0229,0.229,0.4809,0.6489,,0.02,1.5943535,
11.545,-0.1182,0.0161,1.0205,0.1069,0.5573,0.6031,,0.02,1.5964915,
11.565,-0.114,0.0159,1.0222,0.145,0.5496,0.6183,,0.02,1.5993915,
11.585,-0.1211,0.0149,1.0195,0.2595,0.4885,0.6565,,0.021,1.604841,
11.606,-0.1189,0.02,1.0176,0.0763,0.6718,0.6183,,0.019,1.6062907,
11.625,-0.116,0.0122,1.0198,0.2061,0.5344,0.5954,,0.02,1.6104127,
11.645,-0.1226,0.0176,1.0237,0.145,0.5725,0.6336,,0.02,1.6133127,
11.665,-0.1177,0.0146,1.0151,0.1221,0.5267,0.7634,,0.02,1.6157547,
11.685,-0.1177,0.0146,1.0249,0.2214,0.5115,0.5954,,0.02,1.6201827,
11.705,-0.1162,0.0095,1.0242,0.1679,0.4504,0.6794,,0.02,1.6235407,
11.725,-0.1179,0.009,1.0212,0.0534,0.542,0.542,,0.02,1.6246087,
11.745,-0.1172,0.0117,1.0188,0.229,0.5496,0.6489,,0.02,1.6291887,
11.765,-0.1157,0.0125,1.0264,0.2214,0.5878,0.626,,0.02,1.6336167,
11.785,-0.1145,0.0203,1.019,0.1298,0.5267,0.5802,,0.02,1.6362127,
11.805,-0.1172,0.0186,1.0249,0.0992,0.458,0.6489,,0.02,1.6381967,
11.825,-0.1221,0.0171,1.0208,0.1069,0.6336,0.4809,,0.02,1.6403347,
11.845,-0.1201,0.0142,1.0242,0.1603,0.4656,0.6031,,0.02,1.6435407,
11.865,-0.1204,0.0166,1.0254,0.1603,0.5878,0.5344,,0.02,1.6467467,
11.885,-0.116,0.0146,1.0137,0.1908,0.5191,0.626,,0.02,1.6505627,
11.905,-0.1165,0.0151,1.0198,0.0992,0.4427,0.5573,,0.02,1.6525467,
11.925,-0.1157,0.0154,1.0234,0.1832,0.5725,0.6183,,0.02,1.6562107,
11.945,-0.1184,0.0115,1.0161,0.0763,0.5649,0.5725,,0.02,1.6577367,
11.965,-0.1162,0.0146,1.0249,0.2519,0.4809,0.5573,,0.02,1.6627747,
11.985,-0.1177,0.012,1.0208,0.1145,0.4733,0.5878,,0.02,1.6650647,
12.005,-0.1201,0.0103,1.0208,0.1069,0.5954,0.6107,,0.02,1.6672027,
12.025,-0.1201,0.0161,1.0198,0.1908,0.5038,0.5573,,0.02,1.6710187,
12.045,-0.1128,0.0166,1.019,0.1527,0.5878,0.7634,,0.02,1.6740727,
12.065,-0.1162,0.0151,1.0198,0.145,0.4733,0.6107,,0.02,1.6769727,
12.085,-0.1184,0.0156,1.019,0.0992,0.5725,0.5573,,0.02,1.6789567,
12.105,-0.1145,0.0217,1.0229,0.1985,0.4885,0.687,,0.02,1.6829267,
12.125,-0.1177,0.0146,1.0212,0.1527,0.542,0.6336,,0.02,1.6859807,
12.145,-0.1169,0.0144,1.0171,0.1679,0.5649,0.5802,,0.02,1.6893387,
12.165,-0.1201,0.0176,1.0249,0.2137,0.6565,0.5878,,0.02,1.6936127,
12.185,-0.1167,0.0171,1.0283,0.1527,0.5191,0.6641,,0.02,1.6966667,
12.205,-0.1191,0.0181,1.0181,0.2595,0.5115,0.6412,,0.02,1.7018567,
12.225,-0.1162,0.0137,1.0203,0.1374,0.4427,0.6565,,0.021,1.7047421,
12.246,-0.1187,0.0159,1.0195,0.0382,0.626,0.687,,0.019,1.7054679,
12.265,-0.1165,0.01,1.0171,0.145,0.6183,0.6183,,0.02,1.7083679,
12.285,-0.1118,0.0137,1.021,0.2366,0.5038,0.5496,,0.02,1.7130999,
12.305,-0.1165,0.0144,1.0215,0.0916,0.4809,0.5725,,0.02,1.7149319,
12.325,-0.1172,0.0159,1.0193,0.1679,0.5191,0.6412,,0.02,1.7182899,
12.345,-0.1169,0.0173,1.0266,0.1603,0.5649,0.5802,,0.02,1.7214959,
12.365,-0.1189,0.0154,1.0203,0.145,0.5038,0.5878,,0.02,1.7243959,
12.385,-0.114,0.0151,1.0198,0.2366,0.5115,0.6183,,0.02,1.7291279,
12.405,-0.1187,0.0178,1.0203,0.1985,0.5802,0.7023,,0.02,1.7330979,
12.425,-0.1184,0.0188,1.0212,0.1756,0.5344,0.5878,,0.02,1.7366099,
12.445,-0.1189,0.0156,1.0232,0.1679,0.6336,0.687,,0.02,1.7399679,
12.465,-0.1165,0.0149,1.0237,0.1908,0.5115,0.5802,,0.02,1.7437839,
12.485,-0.1152,0.0151,1.0164,0.1756,0.5344,0.5573,,0.02,1.7472959,
12.505,-0.114,0.0156,1.0249,0.1603,0.5344,0.6641,,0.02,1.7505019,
12.525,-0.1147,0.011,1.0193,0.1374,0.5191,0.5649,,0.02,1.7532499,
12.545,-0.1155,0.0122,1.0232,0.1679,0.5878,0.5878,,0.02,1.7566079,
12.565,-0.1204,0.0168,1.0181,0.1145,0.5344,0.6565,,0.02,1.7588979,
12.585,-0.1162,0.0156,1.0205,0.1221,0.5802,0.5954,,0.02,1.7613399,
12.605,-0.1157,0.0151,1.0164,0.1832,0.5725,0.6336,,0.02,1.7650039,
12.625,-0.115,0.0164,1.0134,0.1908,0.6565,0.6336,,0.02,1.7688199,
12.645,-0.1152,0.0168,1.0227,0.0916,0.5802,0.6336,,0.02,1.7706519,
12.665,-0.1169,0.0139,1.0237,0.0916,0.5191,0.6412,,0.02,1.7724839,
12.685,-0.1213,0.0193,1.0186,0.1985,0.5038,0.5573,,0.02,1.7764539,
12.705,-0.1174,0.0183,1.019,0.1221,0.5344,0.458,,0.02,1.7788959,
12.725,-0.1162,0.0129,1.0234,0.1756,0.4656,0.5954,,0.02,1.7824079,
12.745,-0.1147,0.0178,1.0239,0.1527,0.7099,0.5802,,0.02,1.7854619,
12.765,-0.1162,0.0146,1.0229,0.1603,0.542,0.6641,,0.02,1.7886679,
12.785,-0.1184,0.0137,1.0205,0.2366,0.5573,0.6565,,0.02,1.7933999,
12.805,-0.115,0.0151,1.0286,0.084,0.5191,0.5344,,0.02,1.7950799,
12.825,-0.1206,0.0139,1.0232,0.1603,0.4809,0.5954,,0.02,1.7982859,
12.845,-0.1179,0.0154,1.0198,0.2137,0.6336,0.626,,0.02,1.8025599,
12.865,-0.1177,0.0146,1.0198,0.1603,0.5191,0.5878,,0.021,1.8059262,
12.886,-0.1179,0.019,1.0195,0.1374,0.5267,0.5649,,0.019,1.8085368,
12.905,-0.116,0.0164,1.0208,0.1832,0.6565,0.5954,,0.02,1.8122008,
12.925,-0.1182,0.0168,1.0237,0.2137,0.4809,0.5802,,0.02,1.8164748,
12.945,-0.1196,0.0171,1.0217,0.2519,0.4962,0.5878,,0.02,1.8215128,
12.965,-0.1169,0.0181,1.0239,0.1832,0.5878,0.6107,,0.02,1.8251768,
12.985,-0.1182,0.0164,1.021,0.1985,0.5649,0.5954,,0.02,1.8291468,
13.005,-0.1172,0.0146,1.0195,0.1985,0.5267,0.6641,,0.02,1.8331168,
13.025,-0.1208,0.0154,1.02,0.1908,0.6794,0.6641,,0.02,1.8369328,
13.045,-0.1145,0.0154,1.0171,0.0992,0.5115,0.6031,,0.02,1.8389168,
13.065,-0.1184,0.0164,1.0237,0.1756,0.542,0.5802,,0.02,1.8424288,
13.085,-0.1191,0.0125,1.021,0.1298,0.5802,0.6183,,0.02,1.8450248,
13.105,-0.1165,0.0137,1.0276,0.1069,0.5496,0.5954,,0.02,1.8471628,
13.125,-0.1152,0.0115,1.0208,0.0763,0.4962,0.5954,,0.02,1.8486888,
13.145,-0.1152,0.0188,1.0139,0.1374,0.5267,0.6183,,0.02,1.8514368,
